批次,"鸡舍号
House No","入雏量 
Bird Placed","种鸡周龄
HE Age(W)","种蛋源
HE Source","入雏日期
Bird in date","合计
Sum",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
G16-52,H14,29200,47-48,L4,5-Dec-24,11.53,0,0.07,0.05,0.25,0.13,0.09,0.1,0.09,0.88,0.05,0.02,0.09,0.09,0.05,0.06,0.03,0.08,0.03,0.14,0.09,0.14,0.08,0.09,0.1,0.13,0.12,0.16,0.2,0.99,1.3,0.84,0.63,0.55,0.58,0.84,1.2,1.2,
G16-52,H15,28900,31-32,L7,5-Dec-24,7.24,0,0.17,0.15,0.32,0.2,0.24,0.1,0.09,1.32,0.03,0.05,0.03,0.03,0.06,0.03,0.04,0.06,0.06,0.09,0.13,0.13,0.08,0.08,0.08,0.06,0.1,0.1,0.08,0.09,0.1,0.13,0.16,0.39,0.25,0.57,0.79,0.87,
G16-52,H16,29300,43-44,L6,6-Dec-24,14.22,0,0.15,0.07,0.04,0.05,0.05,0.09,0.73,0.07,0.03,0.03,0.02,0.06,0.07,0.03,0.09,0.13,0.11,0.16,0.13,0.11,0.07,0.06,0.07,0.08,0.14,0.32,0.54,1.4,0.92,1.31,1.3,1.19,1.71,2.9,0,0,
G16-52,H17,29300,43-44,L6,6-Dec-24,21.01,0,0.04,0.05,0.11,0.06,0.12,0.09,0.08,0.91,0.03,0.11,0.13,0.06,0.06,0.08,0.06,0.05,0.06,0.1,0.09,0.11,0.1,0.12,0.22,0.87,0.85,1.18,1.93,1.34,2.69,2.68,2.33,2.24,1.02,1.02,0,0,
G16-52,H18,29300,43-44,L6,6-Dec-24,12.98,0,0.05,0.05,0.14,0.08,0.13,0.12,0.19,1.01,0.07,0.12,0.1,0.1,0.06,0.06,0.05,0.07,0.09,0.1,0.06,0.08,0.07,0.06,0.06,0.08,0.05,0.07,0.09,0.2,0.26,0.39,0.65,2.07,2.68,3.52,0,0,
G16-52,H19,29000,43-44,L6,6-Dec-24,9.63,0,0.08,0.15,0.16,0.15,0.18,0.13,0.19,0.98,0.06,0.02,0.05,0.07,0.1,0.07,0.09,0.08,0.09,0.09,0.1,0.1,0.1,0.09,0.11,0.05,0.08,0.14,0.12,0.16,0.14,0.21,0.28,0.35,0.86,1.75,2.24,0,
G16-52,H20,29100,28-29,L3,6-Dec-24,14.23,0,0.11,0.17,0.19,0.19,0.13,0.19,0.15,0.84,0.05,0.02,0.08,0.14,0.12,0.11,0.16,0.14,0.08,0.15,0.13,0.08,0.1,0.08,0.09,0.11,0.11,0.11,0.13,0.1,0.21,1.03,1.44,1.55,0.69,1.98,3.26,0,
G30-65,H2,42200,48,L4,11-Dec-24,8.07,0,0.1,0.12,0.04,0.1,0.09,0.1,0.11,0.91,0.07,0.07,0.03,0.1,0.14,0.13,0.1,0.16,0.15,0.11,0.13,0.09,0.09,0.05,0.09,0.11,0.12,0.36,0.32,0.36,0.45,0.38,0.34,0.58,0.47,0.51,0.55,0.44,0
G30-65,H3,41400,29,L3,10-Dec-24,7.55,0,0.07,0.16,0.19,0.11,0.07,0.09,0.04,0.06,0.89,0.08,0.05,0.13,0.08,0.2,0.23,0.18,0.18,0.18,0.14,0.16,0.11,0.07,0.04,0.05,0.11,0.12,0.13,0.12,0.09,0.15,0.29,0.39,0.65,0.59,0.59,0.75,0
G30-65,H4,42200,48,L4,11-Dec-24,5.94,0,0.07,0.08,0.06,0.09,0.11,0.07,0.08,0.81,0.07,0.06,0.05,0.06,0.1,0.1,0.13,0.12,0.13,0.17,0.12,0.1,0.08,0.07,0.09,0.12,0.11,0.13,0.1,0.1,0.21,0.23,0.28,0.25,0.38,0.43,0.44,0.36,0
G30-65,H5,41700,29,L3,10-Dec-24,7.46,0,0.13,0.05,0.13,0.18,0.04,0.16,0.03,0.12,1.31,0.14,0.1,0.09,0.12,0.14,0.21,0.2,0.19,0.2,0.15,0.19,0.2,0.26,0.24,0.17,0.15,0.12,0.12,0.08,0.12,0.22,0.14,0.17,0.26,0.29,0.29,0.32,0.43
G30-65,H6,42100,48,L4,12-Dec-24,8.52,0,0.22,0.04,0.05,0.62,0.15,0.14,0.19,1.03,0.14,0.14,0.14,0.09,0.17,0.18,0.21,0.1,0.2,0.21,0.19,0.25,0.27,0.21,0.2,0.2,0.19,0.15,0.14,0.08,0.14,0.18,0.25,0.31,0.3,0.48,0.95,0,0
G30-65,H7,41800,29,L3,11-Dec-24,5.21,0,0.24,0.1,0.06,0.08,0.16,0.06,0.06,0.07,0.75,0.05,0.09,0.06,0.11,0.12,0.12,0.17,0.14,0.12,0.12,0.06,0.14,0.07,0.08,0.08,0.08,0.07,0.07,0.1,0.12,0.09,0.11,0.16,0.24,0.16,0.14,0.38,0.36
G30-65,H8,42000,32-33,L7,13-Dec-24,13.67,0,0.07,0.07,0.31,0.24,0.19,0.17,1.88,0.19,0.19,0.21,0.21,0.19,0.19,0.31,0.25,0.2,0.29,0.29,0.29,0.26,0.25,0.2,0.69,0.14,0.11,0.1,0.21,0.15,0.28,0.46,0.71,0.74,1.62,2.02,0,0,0
G30-65,H9,41600,29,L3,11-Dec-24,5.89,0,0.13,0.18,0.13,0.14,0.13,0.07,0.06,0.07,1,0.09,0.04,0.06,0.09,0.14,0.16,0.21,0.2,0.11,0.09,0.1,0.09,0.05,0.06,0.06,0.09,0.13,0.09,0.08,0.11,0.14,0.25,0.29,0.41,0.34,0.25,0.28,0
G30-65,H10,41800,32-33,L7,13-Dec-24,4.97,0,0.07,0.07,0.27,0.2,0.11,0.1,0.06,1.18,0.06,0.05,0.04,0.06,0.04,0.11,0.09,0.17,0.08,0.16,0.12,0.12,0.05,0.17,0.11,0.1,0.1,0.09,0.06,0.06,0.06,0.11,0.15,0.2,0.12,0.19,0.27,0,0
G30-65,H11,41700,32-33,L7,13-Dec-24,6.42,0,0.12,0.07,0.12,0.1,0.09,0.08,0.1,0.74,0.08,0.08,0.1,0.11,0.1,0.12,0.24,0.24,0.19,0.17,0.13,0.17,0.14,0.12,0.17,0.23,0.21,0.2,0.18,0.15,0.16,0.16,0.26,0.26,0.19,0.14,0.17,0.19,0.36
G30-65,H12,42400,54-55,L5,13-Dec-24,11.45,0,0.04,0.1,0.26,0.27,0.18,0.12,0.09,0.87,0.07,0.13,0.13,0.17,0.18,0.22,0.22,0.25,0.21,0.17,0.2,0.23,0.21,0.23,0.18,0.27,0.25,0.2,0.16,0.17,0.26,0.46,0.52,0.7,0.65,1.17,1.92,0,0
G30-65,H13,42400,54-55,L5,13-Dec-24,16.53,0,0.16,0.13,0.27,0.18,0.09,0.2,0.13,0.87,0.08,0.08,0.09,0.1,0.11,0.15,0.15,0.13,0.1,0.11,0.17,0.13,0.14,0.13,0.1,0.14,0.14,0.19,0.15,0.18,0.25,0.41,0.51,0.94,1.89,3.54,4.39,0,0
G30-65,H14,42300,54-55,L5,13-Dec-24,14.61,0,0.15,0.15,0.32,0.35,0.28,0.18,0.13,1.02,0.1,0.07,0.13,0.12,0.14,0.14,0.11,0.11,0.09,0.1,0.19,0.17,0.14,0.12,0.1,0.13,0.15,0.17,0.38,0.75,1.54,1.94,2.21,1.5,1.44,0,0,0,0
G30-65,H17,41800,44-45,L6,14-Dec-24,6.04,0,0.04,0.05,0.05,0.08,0.05,0.06,0.06,0.68,0.07,0.08,0.06,0.07,0.07,0.06,0.07,0.14,0.1,0.08,0.08,0.13,0.06,0.11,0.1,0.1,0.12,0.15,0.19,0.19,0.28,0.16,0.28,0.18,0.18,0.31,0.62,0.91,0
G30-65,H18,41800,44-45,L6,14-Dec-24,8.86,0,0.05,0.13,0.09,0.08,0.09,0.05,0.04,0.61,0.09,0.08,0.08,0.05,0.07,0.06,0.16,0.08,0.12,0.07,0.08,0.14,0.12,0.11,0.1,0.07,0.17,0.21,0.27,0.22,0.4,0.36,0.4,0.34,0.34,0.57,1.32,1.63,0
G30-65,H19,41800,44-45,L6,14-Dec-24,9.03,0,0.07,0.07,0.07,0.08,0.08,0.06,0.05,0.8,0.08,0.09,0.06,0.19,0.1,0.08,0.1,0.18,0.11,0.11,0.12,0.13,0.1,0.2,0.17,0.18,0.17,0.18,0.27,0.12,0.4,0.33,0.24,0.28,0.32,0.35,1.68,1.44,0
G30-65,H20,41300,55,L5,14-Dec-24,15.72,0,0.1,0.07,0.19,0.16,0.12,0.1,0.08,1.06,0.1,0.06,0.12,0.12,0.16,0.21,0.18,0.15,0.19,0.18,0.2,0.19,0.21,0.23,0.18,0.24,0.26,0.36,0.42,0.49,0.91,1.08,2.46,1.94,1.62,1.57,0,0,0
G31-64,H3,38400,30-31W,L3,19-Dec-24,6.38,0.13,0.23,0.21,0.26,0.19,0.2,0.08,0.07,1.27,0.07,0.02,0.03,0.03,0.05,0.06,0.1,0.17,0.22,0.14,0.19,0.22,0.14,0.1,0.13,0.08,0.1,0.3,0.14,0.21,0.19,0.18,0.13,0.16,0.09,0.25,0.25,0,
G31-64,H4,37500,49-50W,L4,20-Dec-24,7.26,0.12,0.05,0.11,0.09,0.11,0.08,0.09,0.09,0.75,0.06,0.04,0.09,0.07,0.07,0.06,0.07,0.1,0.09,0.09,0.1,0.11,0.1,0.06,0.09,0.08,0.19,0.16,0.21,0.17,0.32,0.29,0.58,0.65,0.79,1.16,0,0,
G31-64,H5,38500,30-31W,L3,19-Dec-24,4.91,0.06,0.04,0.08,0.1,0.26,0.11,0.08,0.07,0.92,0.03,0.06,0.05,0.05,0.08,0.09,0.07,0.1,0.12,0.13,0.11,0.06,0.06,0.11,0.07,0.06,0.09,0.06,0.09,0.08,0.09,0.14,0.19,0.2,0.19,0.33,0.47,0,
G31-64,H6,37700,49-50W,L4,19-Dec-24,5.8,0.06,0.04,0.03,0.09,0.08,0.05,0.08,0.07,0.89,0.04,0.03,0.05,0.07,0.04,0.06,0.07,0.06,0.08,0.11,0.13,0.05,0.06,0.05,0.06,0.08,0.07,0.09,0.11,0.08,0.12,0.14,0.17,0.28,0.31,0.92,1.09,0,
G31-64,H7,38500,30-31W,L3,19-Dec-24,6.35,0.01,0.02,0.04,0.04,0.15,0.16,0.08,0.11,0.07,1.19,0.05,0.03,0.06,0.03,0.1,0.04,0.34,0.05,0.11,0.12,0.09,0.06,0.05,0.07,0.03,0.05,0.06,0.06,0.04,0.06,0.12,0.17,0.23,0.27,0.57,0.62,0.98,
G31-64,H8,38800,33-34W,L7,20-Dec-24,5.75,0.01,0.08,0.05,0.08,0.05,0.03,0.06,0.09,0.78,0.08,0.01,0.1,0.04,0.05,0.05,0.34,0.17,0.24,0.13,0.13,0.08,0.11,0.18,0.2,0.14,0.13,0.11,0.1,0.1,0.37,0.22,0.18,0.38,0.36,0.51,0,0,
G31-64,H10,38500,45-46W,L6,20-Dec-24,5.71,0.06,0.06,0.05,0.05,0.08,0.06,0.05,0.06,0.72,0.06,0.04,0.03,0.06,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.07,0.05,0.08,0.05,0.06,0.05,0.07,0.05,0.05,0.1,0.09,0.13,0.19,0.42,0.82,1.71,0,
G31-64,H11,38800,33-34W,L7,20-Dec-24,4.28,0.03,0.05,0.17,0.13,0.09,0.08,0.07,0.11,0.71,0.06,0.06,0.07,0.1,0.08,0.12,0.1,0.1,0.2,0.16,0.12,0.1,0.09,0.09,0.08,0.1,0.1,0.08,0.11,0.11,0.09,0.06,0.07,0.09,0.17,0.16,0.18,0,
G31-64,H12,38700,45-46W,L6,21-Dec-24,4.76,0.04,0.09,0.06,0.08,0.03,0.06,0.06,0.08,0.56,0.09,0.04,0.07,0.07,0.08,0.08,0.14,0.16,0.16,0.18,0.12,0.13,0.09,0.13,0.07,0.06,0.05,0.07,0.06,0.06,0.08,0.1,0.09,0.28,0.56,0.7,0,0,
G31-64,H13,38900,33-34W,L7,20-Dec-24,5.16,0.03,0.03,0.04,0.08,0.07,0.04,0.04,0.06,0.77,0.09,0.06,0.05,0.08,0.08,0.08,0.09,0.15,0.19,0.18,0.11,0.07,0.1,0.1,0.12,0.13,0.14,0.14,0.17,0.15,0.22,0.26,0.26,0.27,0.28,0.39,0,0,
G31-64,H14,38500,45-46W,L6,21-Dec-24,14.13,0.04,0.05,0.09,0.04,0.06,0.05,0.05,0.08,0.59,0.08,0.06,0.07,0.08,0.07,0.09,0.18,0.24,0.19,0.11,0.08,0.08,0.12,0.16,0.23,0.25,0.19,0.28,0.38,0.73,0.93,0.89,1.09,1.81,2.14,2.55,0,0,
G31-64,H16,38200,31W,L3,21-Dec-24,5.73,0.03,0.05,0.05,0.08,0.08,0.05,0.06,0.06,0.6,0.06,0.04,0.03,0.04,0.05,0.1,0.12,0.23,0.25,0.26,0.19,0.16,0.17,0.11,0.11,0.07,0.07,0.06,0.06,0.08,0.06,0.13,0.25,0.42,0.72,0.83,0,0,
G31-64,H18,38200,31W,L3,21-Dec-24,4.83,0.03,0.05,0.09,0.12,0.07,0.07,0.08,0.05,0.6,0.07,0.02,0.04,0.05,0.06,0.06,0.08,0.22,0.19,0.15,0.14,0.13,0.12,0.12,0.09,0.07,0.06,0.07,0.09,0.09,0.1,0.1,0.17,0.26,0.33,0.43,0.37,0,
G31-64,H20,38100,31W,L3,21-Dec-24,5.86,0.13,0.14,0.28,0.16,0.13,0.17,0.04,0.06,0.7,0.11,0.04,0.04,0.06,0.09,0.19,0.18,0.36,0.2,0.16,0.15,0.13,0.14,0.13,0.07,0.04,0.07,0.09,0.04,0.09,0.1,0.12,0.14,0.17,0.28,0.43,0.43,0,
G31-64,H22,37600,34W,L7,21-Dec-24,5.41,0.03,0.04,0.04,0.05,0.07,0.09,0.06,0.06,0.51,0.07,0.11,0.05,0.07,0.06,0.09,0.11,0.12,0.17,0.2,0.22,0.4,0.15,0.13,0.15,0.13,0.11,0.13,0.12,0.08,0.14,0.18,0.18,0.2,0.23,0.28,0.36,0.28,
G31-64,H24,37600,34W,L7,22-Dec-24,4.98,0.08,0.07,0.11,0.13,0.09,0.11,0.15,0.23,0.68,0.15,0.04,0.12,0.1,0.09,0.1,0.1,0.15,0.11,0.11,0.09,0.09,0.1,0.07,0.09,0.08,0.07,0.07,0.06,0.07,0.14,0.13,0.17,0.24,0.26,0.23,0.31,0,
G31-64,H26,36800,55-56W,L5,22-Dec-24,4.24,0.06,0.07,0.08,0.07,0.05,0.08,0.11,0.11,0.53,0.08,0.04,0.04,0.05,0.06,0.06,0.05,0.04,0.04,0.05,0.03,0.06,0.04,0.03,0.05,0.07,0.05,0.08,0.11,0.13,0.12,0.15,0.21,0.35,0.48,0.6,0,0,
G32-63,H1,38300,55W,L5,15-Dec-24,17.55091384,0,0.07310705,0.114882507,0.117493473,0.203655352,0.143603133,0.096605744,0.164490862,1.107049608,0.09921671,0.057441253,0.075718016,0.107049608,0.11227154,0.054830287,0.138381201,0.148825065,0.19843342,0.268929504,0.117493473,0.122715405,0.101827676,0.143603133,0.180156658,0.253263708,0.292428198,0.378590078,0.355091384,0.467362924,0.88772846,1.253263708,1.82767624,2.065274151,2.093994778,1.72845953,2,0,
G32-63,H2,38200,49W,L4,16-Dec-24,4.994764398,0,0.070680628,0.143979058,0.143979058,0.109947644,0.141361257,0.136125654,1.358638743,0.094240838,0.044502618,0.057591623,0.034031414,0.070680628,0.034031414,0.170157068,0.22513089,0.196335079,0.217277487,0.057591623,0.068062827,0.054973822,0.065445026,0.112565445,0.107329843,0.112565445,0.068062827,0.04973822,0.057591623,0.057591623,0.073298429,0.062827225,0.151832461,0.115183246,0.14921466,0.143979058,0.238219895,0,
G32-63,H3,37600,55W,L5,17-Dec-24,10.25,0,0.066489362,0.430851064,0.393617021,0.212765957,0.151595745,0.156914894,0.132978723,0.877659574,0.066489362,0.071808511,0.069148936,0.053191489,0.085106383,0.095744681,0.122340426,0.252659574,0.093085106,0.090425532,0.10106383,0.122340426,0.098404255,0.082446809,0.090425532,0.111702128,0.085106383,0.085106383,0.117021277,0.095744681,0.14893617,0.295212766,0.356382979,0.454787234,2.420212766,2.162234043,0,0,
G32-63,H4,37900,45W,樟树后,18-Dec-24,4.435356201,0,0.063324538,0.092348285,0.079155673,0.073878628,0.084432718,0.068601583,0.664907652,0.073878628,0.084432718,0.063324538,0.036939314,0.079155673,0.07651715,0.07651715,0.09762533,0.065963061,0.063324538,0.079155673,0.084432718,0.071240106,0.089709763,0.079155673,0.105540897,0.094986807,0.068601583,0.08707124,0.116094987,0.100263852,0.129287599,0.189973615,0.19525066,0.229551451,0.395778364,0.474934037,0,0,
G32-63,H5,38000,50W,牛苦坑,17-Dec-24,4.202631579,0,0.05,0.052631579,0.110526316,0.089473684,0.034210526,0.065789474,0.105263158,0.960526316,0.060526316,0.05,0.05,0.031578947,0.052631579,0.028947368,0.05,0.060526316,0.026315789,0.036842105,0.057894737,0.052631579,0.063157895,0.089473684,0.05,0.05,0.047368421,0.052631579,0.071052632,0.097368421,0.121052632,0.086842105,0.092105263,0.160526316,0.210526316,0.492105263,0.492105263,0,
G32-63,H6,37000,50W,牛苦坑,17-Dec-24,6.537837838,0,0.048648649,0.037837838,0.037837838,0.064864865,0.072972973,0.043243243,0.089189189,0.772972973,0.081081081,0.064864865,0.062162162,0.045945946,0.032432432,0.062162162,0.075675676,0.086486486,0.097297297,0.067567568,0.07027027,0.067567568,0.086486486,0.051351351,0.043243243,0.037837838,0.072972973,0.081081081,0.07027027,0.12972973,0.181081081,0.140540541,0.124324324,0.394594595,0.448648649,1.078378378,1.616216216,0,
G32-63,H7,38900,45W,L6,18-Dec-24,5.105398458,0,0.048843188,0.084832905,0.05655527,0.107969152,0.071979434,0.041131105,0.035989717,0.776349614,0.059125964,0.041131105,0.046272494,0.030848329,0.035989717,0.089974293,0.102827763,0.089974293,0.107969152,0.095115681,0.082262211,0.089974293,0.071979434,0.05655527,0.05655527,0.051413882,0.043701799,0.048843188,0.071979434,0.043701799,0.089974293,0.190231362,0.298200514,0.437017995,0.604113111,0.946015424,0,0,
G32-63,H8,38800,33W,L7,18-Dec-24,4.716494845,0,0.059278351,0.056701031,0.051546392,0.103092784,0.041237113,0.038659794,0.072164948,0.863402062,0.082474227,0.108247423,0.121134021,0.097938144,0.069587629,0.128865979,0.167525773,0.193298969,0.157216495,0.237113402,0.206185567,0.229381443,0.211340206,0.154639175,0.100515464,0.051546392,0.056701031,0.054123711,0.051546392,0.079896907,0.115979381,0.105670103,0.072164948,0.097938144,0.128865979,0.149484536,0.201030928,0,
G32-63,H9,38800,33W,L7,18-Dec-24,4.804123711,0,0.074742268,0.069587629,0.110824742,0.092783505,0.095360825,0.054123711,0.154639175,0.672680412,0.092783505,0.095360825,0.077319588,0.048969072,0.092783505,0.110824742,0.278350515,0.365979381,0.219072165,0.25,0.154639175,0.159793814,0.121134021,0.054123711,0.06185567,0.128865979,0.134020619,0.051546392,0.072164948,0.056701031,0.115979381,0.100515464,0.06185567,0.105670103,0.144329897,0.144329897,0.180412371,0,
G32-63,H10,38900,45W,L6,19-Dec-24,5.388174807,0,0.041131105,0.071979434,0.141388175,0.133676093,0.05655527,0.12596401,1.439588689,0.123393316,0.051413882,0.061696658,0.064267352,0.095115681,0.110539846,0.406169666,0.393316195,0.23907455,0.228791774,0.115681234,0.079691517,0.097686375,0.043701799,0.066838046,0.051413882,0.05655527,0.061696658,0.051413882,0.043701799,0.095115681,0.064267352,0.079691517,0.100257069,0.071979434,0.174807198,0.349614396,0,0,
G32-63,H11,38600,33W,L7,18-Dec-24,5.321243523,0,0.067357513,0.054404145,0.051813472,0.064766839,0.038860104,0.041450777,0.056994819,0.955958549,0.038860104,0.028497409,0.054404145,0.044041451,0.075129534,0.046632124,0.194300518,0.240932642,0.248704663,0.204663212,0.225388601,0.272020725,0.24611399,0.453367876,0.196891192,0.116580311,0.033678756,0.116580311,0.158031088,0.090673575,0.090673575,0.080310881,0.129533679,0.067357513,0.183937824,0.155440415,0.196891192,0,
G32-63,H12,39000,45W,L6,19-Dec-24,5.205128205,0,0.046153846,0.169230769,0.879487179,0.125641026,0.069230769,0.115384615,0.046153846,0.853846154,0.058974359,0.025641026,0.038461538,0.053846154,0.105128205,0.153846154,0.141025641,0.094871795,0.135897436,0.112820513,0.184615385,0.094871795,0.192307692,0.094871795,0.074358974,0.087179487,0.102564103,0.076923077,0.135897436,0.112820513,0.061538462,0.146153846,0.087179487,0.138461538,0.128205128,0.261538462,0,0,
G32-63,H13,38300,49W,L4,20-Dec-24,4.154046997,0,0.211488251,0.177545692,0.114882507,0.07310705,0.107049608,0.052219321,0.626631854,0.046997389,0.031331593,0.070496084,0.083550914,0.060052219,0.146214099,0.088772846,0.062663185,0.09921671,0.049608355,0.041775457,0.070496084,0.044386423,0.120104439,0.138381201,0.138381201,0.130548303,0.182767624,0.234986945,0.300261097,0.083550914,0.08616188,0.117493473,0.122715405,0.130548303,0.109660574,0,0,0,
G32-63,H14,38200,49W,L4,16-Dec-24,6.735602094,0,0.123036649,0.178010471,0.827225131,0.138743455,0.117801047,0.041884817,1.193717277,0.057591623,0.047120419,0.031413613,0.091623037,0.031413613,0.034031414,0.22513089,0.27486911,0.311518325,0.348167539,0.052356021,0.039267016,0.09947644,0.09947644,0.138743455,0.136125654,0.141361257,0.073298429,0.065445026,0.060209424,0.062827225,0.143979058,0.123036649,0.096858639,0.159685864,0.264397906,0.379581152,0.52617801,0,
G32-63,H15,38200,49W,L4,15-Dec-24,5.955497382,0,0.07591623,0.07591623,0.167539267,0.222513089,0.201570681,0.128272251,0.039267016,0.994764398,0.039267016,0.036649215,0.023560209,0.068062827,0.044502618,0.034031414,0.235602094,0.293193717,0.329842932,0.356020942,0.04973822,0.04973822,0.089005236,0.073298429,0.138743455,0.117801047,0.117801047,0.065445026,0.060209424,0.068062827,0.068062827,0.083769634,0.130890052,0.332460733,0.358638743,0.384816754,0.40052356,0,
G32-63,H16,36900,30W,L3,15-Dec-24,6.444444444,0,0.715447154,0.094850949,0.165311653,0.176151762,0.12195122,0.12195122,0.070460705,0.059620596,0.661246612,0.08401084,0.081300813,0.338753388,0.16802168,0.230352304,0.433604336,0.2899729,0.260162602,0.341463415,0.157181572,0.140921409,0.08401084,0.113821138,0.06504065,0.067750678,0.040650407,0.073170732,0.059620596,0.08401084,0.075880759,0.078590786,0.10298103,0.086720867,0.113821138,0.108401084,0.281842818,0.295392954,
G32-63,H17,38100,30W,L3,15-Dec-24,5.060367454,0,0.490813648,0.118110236,0.149606299,0.128608924,0.089238845,0.104986877,0.078740157,0.060367454,0.758530184,0.091863517,0.070866142,0.233595801,0.133858268,0.141732283,0.144356955,0.202099738,0.149606299,0.19160105,0.131233596,0.131233596,0.078740157,0.089238845,0.081364829,0.091863517,0.044619423,0.041994751,0.049868766,0.05511811,0.146981627,0.097112861,0.076115486,0.091863517,0.081364829,0.070866142,0.196850394,0.165354331,
G32-63,H18,38100,30W,L3,15-Dec-24,4.992125984,0,0.047244094,0.141732283,0.102362205,0.070866142,0.076115486,0.06824147,0.041994751,0.047244094,0.566929134,0.057742782,0.034120735,0.049868766,0.097112861,0.089238845,0.060367454,0.076115486,0.062992126,0.099737533,0.052493438,0.070866142,0.078740157,0.039370079,0.036745407,0.057742782,0.049868766,0.05511811,0.039370079,0.057742782,0.060367454,0.06824147,0.160104987,0.346456693,0.490813648,0.624671916,0.569553806,0.343832021,
G32-63,H19,37900,45W,樟树后,18-Dec-24,4.970976253,0,0.044854881,0.089709763,0.08707124,0.07651715,0.089709763,0.08707124,0.113456464,0.849604222,0.10817942,0.09762533,0.081794195,0.063324538,0.068601583,0.089709763,0.092348285,0.065963061,0.068601583,0.105540897,0.068601583,0.052770449,0.08707124,0.060686016,0.073878628,0.071240106,0.068601583,0.08707124,0.084432718,0.145118734,0.197889182,0.17414248,0.19525066,0.350923483,0.385224274,0.588390501,0,0,
G32-63,H20,37900,37W/45W/45W,马头洋/樟树后/L6,17-Dec-24,7.733509235,0,0.084432718,0.055408971,0.058047493,0.036939314,0.047493404,0.052770449,0.701846966,0.063324538,0.060686016,0.031662269,0.126649077,0.060686016,0.029023747,0.050131926,0.026385224,0.105540897,0.073878628,0.071240106,0.08707124,0.079155673,0.060686016,0.060686016,0.055408971,0.094986807,0.121372032,0.163588391,0.116094987,0.179419525,0.234828496,0.662269129,0.448548813,0.385224274,1.013192612,1.253298153,0.981530343,0,
