,Harveststatus_month,ID_NUM,日龄,鸡舍温度-平均_mean,鸡舍温度-最低_mean,鸡舍温度-最高_mean,eef_high_flg,eef
31553,8,G10_60_H13,36,27.509375,27.351041666666664,27.648958333333336,0,442.4877927839679
31554,8,G10_60_H14,-1,34.2,34.2,34.65,0,448.195607512446
31555,8,G10_60_H14,0,34.16697247706422,33.717431192660555,34.51192660550459,0,448.195607512446
31556,8,G10_60_H14,1,34.565625,34.165625,34.95625,0,448.195607512446
31557,8,G10_60_H14,5,33.67121212121212,33.32424242424243,33.916666666666664,0,448.195607512446
31558,8,G10_60_H14,6,32.563541666666666,32.362500000000004,32.79479166666667,0,448.195607512446
31559,8,G10_60_H14,7,32.36145833333333,32.203125,32.550000000000004,0,448.195607512446
31560,8,G10_60_H14,8,31.775,31.55625,31.99895833333333,0,448.195607512446
31561,8,G10_60_H14,9,30.77916666666667,30.63125,30.976041666666664,0,448.195607512446
31562,8,G10_60_H14,10,32.209375,32.02291666666667,32.41458333333333,0,448.195607512446
31563,8,G10_60_H14,11,32.321875,32.13854166666667,32.550000000000004,0,448.195607512446
31564,8,G10_60_H14,12,31.615625,31.4125,31.836458333333336,0,448.195607512446
31565,8,G10_60_H14,13,30.260416666666668,30.11458333333333,30.4625,0,448.195607512446
31566,8,G10_60_H14,14,30.516666666666666,30.34166666666667,30.666666666666668,0,448.195607512446
31567,8,G10_60_H14,15,30.778313253012048,30.60722891566265,30.98313253012048,0,448.195607512446
31568,8,G10_60_H14,16,31.14270833333333,31.00208333333333,31.29375,0,448.195607512446
31569,8,G10_60_H14,17,31.39375,31.222916666666663,31.59895833333333,0,448.195607512446
31570,8,G10_60_H14,18,31.085416666666664,30.903125,31.275,0,448.195607512446
31571,8,G10_60_H14,19,30.447916666666668,30.229166666666668,30.682291666666668,0,448.195607512446
31572,8,G10_60_H14,20,29.726041666666664,29.54895833333333,29.9125,0,448.195607512446
31573,8,G10_60_H14,21,28.816666666666663,28.679166666666664,28.991666666666664,0,448.195607512446
31574,8,G10_60_H14,22,29.641666666666666,29.45625,29.860416666666666,0,448.195607512446
31575,8,G10_60_H14,23,29.992708333333336,29.77916666666667,30.221875,0,448.195607512446
